partNumber,Element1,Element2,PlatedElement,Thickness,Stock,Price
P1111111111,Al,,,2,194,655
P1111111112,Al,,,4,87,590
P1111111113,Al,,,10,163,530
P1111111114,Al,,,20,51,475
P1111111115,Al,,,40,146,430
P1111111116,Al,,,80,161,385
P1111111117,Al,,,120,115,350
P1111111118,Al,,,160,65,315
P1111111119,Al,,,200,155,280
P1111111120,Al,,,240,108,255
P1111111121,Al,,,280,168,230
P1111111122,Al,,,320,23,205
P1111111123,Al,,,360,172,185
P1111111124,Al,,,400,34,165
P1111111125,Al,,,440,151,150
P1111111126,Al,,,480,104,135
P1111111127,Al,,,520,150,120
P1111111128,Al,,,560,6,110
P1111111129,Al,,,600,7,100
P1111111130,Al,,,640,68,90
P1111111131,Al,,,680,150,80
P1111111132,Al,,,720,130,70
P1111111133,Al,,,760,190,65
P1111111134,Al,,,800,53,60
P1111111135,Ag,,,2,63,975
P1111111136,Ag,,,4,12,875
P1111111137,Ag,,,10,72,790
P1111111138,Ag,,,20,186,710
P1111111139,Ag,,,40,177,640
P1111111140,Ag,,,80,157,575
P1111111141,Ag,,,120,178,520
P1111111142,Ag,,,160,33,465
P1111111143,Ag,,,200,11,420
P1111111144,Ag,,,240,107,375
P1111111145,Ag,,,280,33,340
P1111111146,Ag,,,320,160,305
P1111111147,Ag,,,360,197,275
P1111111148,Ag,,,400,34,250
P1111111149,Ag,,,440,28,225
P1111111150,Ag,,,480,33,200
P1111111151,Ag,,,520,176,180
P1111111152,Ag,,,560,30,160
P1111111153,Ag,,,600,14,145
P1111111154,Ag,,,640,149,130
P1111111155,Ag,,,680,35,120
P1111111156,Ag,,,720,162,105
P1111111157,Ag,,,760,23,95
P1111111158,Ag,,,800,117,85
P1111111159,Ag,Cu,,2,8,870
P1111111160,Ag,Cu,,4,27,785
P1111111161,Ag,Cu,,10,184,705
P1111111162,Ag,Cu,,20,43,635
P1111111163,Ag,Cu,,40,177,570
P1111111164,Ag,Cu,,80,123,515
P1111111165,Ag,Cu,,120,84,465
P1111111166,Ag,Cu,,160,153,415
P1111111167,Ag,Cu,,200,8,375
P1111111168,Ag,Cu,,240,112,340
P1111111169,Ag,Cu,,280,145,305
P1111111170,Ag,Cu,,320,187,275
P1111111171,Ag,Cu,,360,21,245
P1111111172,Ag,Cu,,400,105,220
P1111111173,Ag,Cu,,440,119,200
P1111111174,Ag,Cu,,480,71,180
P1111111175,Ag,Cu,,520,178,160
P1111111176,Ag,Cu,,560,102,145
P1111111177,Ag,Cu,,600,180,130
P1111111178,Ag,Cu,,640,158,120
P1111111179,Ag,Cu,,680,166,105
P1111111180,Ag,Cu,,720,31,95
P1111111181,Ag,Cu,,760,157,85
P1111111182,Ag,Cu,,800,130,75
P1111111183,Au,,,2,161,865
P1111111184,Au,,,4,140,775
P1111111185,Au,,,10,90,700
P1111111186,Au,,,20,22,630
P1111111187,Au,,,40,27,565
P1111111188,Au,,,80,89,510
P1111111189,Au,,,120,109,460
P1111111190,Au,,,160,151,415
P1111111191,Au,,,200,13,370
P1111111192,Au,,,240,99,335
P1111111193,Au,,,280,22,300
P1111111194,Au,,,320,162,270
P1111111195,Au,,,360,160,245
P1111111196,Au,,,400,122,220
P1111111197,Au,,,440,75,195
P1111111198,Au,,,480,114,180
P1111111199,Au,,,520,99,160
P1111111200,Au,,,560,46,145
P1111111201,Au,,,600,39,130
P1111111202,Au,,,640,28,115
P1111111203,Au,,,680,56,105
P1111111204,Au,,,720,80,95
P1111111205,Au,,,760,95,85
P1111111206,Au,,,800,152,75
P1111111207,Au,Ni,,2,129,960
P1111111208,Au,Ni,,4,25,860
P1111111209,Au,Ni,,10,8,775
P1111111210,Au,Ni,,20,84,700
P1111111211,Au,Ni,,40,68,630
P1111111212,Au,Ni,,80,96,565
P1111111213,Au,Ni,,120,152,510
P1111111214,Au,Ni,,160,18,460
P1111111215,Au,Ni,,200,30,410
P1111111216,Au,Ni,,240,42,370
P1111111217,Au,Ni,,280,179,335
P1111111218,Au,Ni,,320,153,300
P1111111219,Au,Ni,,360,53,270
P1111111220,Au,Ni,,400,38,245
P1111111221,Au,Ni,,440,154,220
P1111111222,Au,Ni,,480,110,195
P1111111223,Au,Ni,,520,163,180
P1111111224,Au,Ni,,560,52,160
P1111111225,Au,Ni,,600,74,145
P1111111226,Au,Ni,,640,154,130
P1111111227,Au,Ni,,680,57,115
P1111111228,Au,Ni,,720,61,105
P1111111229,Au,Ni,,760,105,95
P1111111230,Au,Ni,,800,39,85
P1111111231,Au,Cu,,2,54,1215
P1111111232,Au,Cu,,4,166,1095
P1111111233,Au,Cu,,10,75,985
P1111111234,Au,Cu,,20,162,885
P1111111235,Au,Cu,,40,130,795
P1111111236,Au,Cu,,80,196,715
P1111111237,Au,Cu,,120,89,645
P1111111238,Au,Cu,,160,40,580
P1111111239,Au,Cu,,200,9,525
P1111111240,Au,Cu,,240,60,470
P1111111241,Au,Cu,,280,97,425
P1111111242,Au,Cu,,320,124,380
P1111111243,Au,Cu,,360,133,345
P1111111244,Au,Cu,,400,146,310
P1111111245,Au,Cu,,440,186,280
P1111111246,Au,Cu,,480,108,250
P1111111247,Au,Cu,,520,13,225
P1111111248,Au,Cu,,560,180,200
P1111111249,Au,Cu,,600,91,180
P1111111250,Au,Cu,,640,158,165
P1111111251,Au,Cu,,680,78,150
P1111111252,Au,Cu,,720,150,135
P1111111253,Au,Cu,,760,21,120
P1111111254,Au,Cu,,800,10,110
P1111111255,Au,Sn,,2,106,1080
P1111111256,Au,Sn,,4,139,970
P1111111257,Au,Sn,,10,35,875
P1111111258,Au,Sn,,20,11,790
P1111111259,Au,Sn,,40,28,710
P1111111260,Au,Sn,,80,29,640
P1111111261,Au,Sn,,120,157,575
P1111111262,Au,Sn,,160,136,515
P1111111263,Au,Sn,,200,116,465
P1111111264,Au,Sn,,240,98,420
P1111111265,Au,Sn,,280,51,375
P1111111266,Au,Sn,,320,146,340
P1111111267,Au,Sn,,360,64,305
P1111111268,Au,Sn,,400,68,275
P1111111269,Au,Sn,,440,191,245
P1111111270,Au,Sn,,480,64,220
P1111111271,Au,Sn,,520,42,200
P1111111272,Au,Sn,,560,62,180
P1111111273,Au,Sn,,600,6,160
P1111111274,Au,Sn,,640,153,145
P1111111275,Au,Sn,,680,23,130
P1111111276,Au,Sn,,720,152,120
